title,link,source,published_date,snippet,sentiment
"Q&A: What Is DeepSeek, the Bargain AI Roiling the Stock Market?",https://news.darden.virginia.edu/2025/01/29/qa-what-is-deepseek-the-bargain-ai-roiling-the-stock-market/,Darden Report Online,2025-01-30 20:06:37.200997,"January 29, 2025 Just a week or so ago, a little-known Chinese technology company called DeepSeek quietly debuted an artificial intelligence app.",Positive
What is DeepSeek and why is it disrupting the AI sector?,https://www.reuters.com/technology/artificial-intelligence/what-is-deepseek-why-is-it-disrupting-ai-sector-2025-01-27/,Reuters,2025-01-30 20:06:37.201016,"BEIJING, Jan 27 (Reuters) - Chinese startup DeepSeek's launch of its latest AI models, which it says are on a par or better than industry-leading models in...",Neutral
Q&A: DeepSeek AI assistant and the future of AI,https://www.psu.edu/news/research/story/qa-deepseek-ai-assistant-and-future-ai,Penn State University,2025-01-31 20:06:37.201025,"UNIVERSITY PARK, Pa. — News that artificial intelligence (AI) assistant DeepSeek can compete with models like ChatGPT and Gemini for a fraction of the cost...",Neutral
DeepSeek R1 is now available on Azure AI Foundry and GitHub,https://azure.microsoft.com/en-us/blog/deepseek-r1-is-now-available-on-azure-ai-foundry-and-github/,Microsoft Azure,2025-01-30 20:06:37.201033,"DeepSeek R1, available through the model catalog on Microsoft Azure AI Foundry and GitHub, enables businesses to seamlessly integrate advanced AI.",Neutral
WashU Expert: How DeepSeek changes the AI industry,https://source.washu.edu/2025/02/washu-expert-how-deepseek-changes-the-ai-industry/,The Source | Washington University in St. Louis,2025-02-03 20:06:37.201040,DeepSeek AI surged in popularity in the past week after analysts showed that it was trained much more efficiently compared with models like Open AI ChatGPT...,Neutral
"What is DeepSeek, the Chinese AI startup that shook the tech world?",https://www.cnn.com/2025/01/27/tech/deepseek-ai-explainer/index.html,CNN,2025-01-30 20:06:37.201047,"A surprisingly efficient and powerful Chinese AI model has taken the technology industry by storm. It's called DeepSeek R1, and it's rattling nerves on Wall...",Negative
DeepSeek AI: How to try DeepSeek R1 right now,https://mashable.com/article/deepseek-ai-r1-how-to-try-iphone-desktop,Mashable,2025-01-30 20:06:37.201054,"A new super-powered, open-source AI model called DeepSeek R1 is rattling the industry this week, after it was unexpectedly dropped into the laps of...",Neutral
"What is DeepSeek, the Chinese AI company upending the stock market?",https://apnews.com/article/deepseek-ai-china-f4908eaca221d601e31e7e3368778030,AP News,2025-01-30 20:06:37.201061,A frenzy over an artificial intelligence chatbot made by Chinese tech startup DeepSeek was upending stock markets Monday and fueling debates over the...,Neutral
Why DeepSeek’s AI Model Just Became the Top-Rated App in the U.S.,https://www.scientificamerican.com/article/why-deepseeks-ai-model-just-became-the-top-rated-app-in-the-u-s/,Scientific American,2025-01-30 20:06:37.201068,"A Chinese start-up has stunned the technology industry—and financial markets—with a cheaper, lower-tech AI assistant that matches the state of the art.",Neutral
How DeepSeek’s AI Stacks Up Against OpenAI’s Model,https://www.wsj.com/articles/how-deepseeks-ai-stacks-up-against-openais-model-e938c3d6,WSJ,2025-01-30 20:06:37.201075,"It's impossible to look at the Chinese artificial intelligence startup DeepSeek's new AI model without comparing it against OpenAI, the dominant American...",Neutral
